Datetime,Close,High,Low,Open,Volume
2026-01-27 02:00:00,5425.0,5500.0,5375.0,5500.0,0
2026-01-27 02:05:00,5400.0,5425.0,5375.0,5375.0,36400
2026-01-27 02:10:00,5425.0,5450.0,5375.0,5400.0,58900
2026-01-27 02:15:00,5450.0,5450.0,5425.0,5425.0,29900
2026-01-27 02:20:00,5450.0,5450.0,5400.0,5450.0,15400
2026-01-27 02:25:00,5450.0,5450.0,5400.0,5400.0,48400
2026-01-27 02:30:00,5450.0,5450.0,5425.0,5425.0,0
2026-01-27 02:35:00,5450.0,5450.0,5425.0,5425.0,11900
2026-01-27 02:40:00,5400.0,5450.0,5375.0,5450.0,91400
2026-01-27 02:45:00,5375.0,5400.0,5375.0,5400.0,112500
2026-01-27 02:50:00,5400.0,5400.0,5375.0,5375.0,23100
2026-01-27 02:55:00,5400.0,5400.0,5375.0,5400.0,14900
2026-01-27 03:00:00,5375.0,5400.0,5375.0,5400.0,5400
2026-01-27 03:05:00,5400.0,5400.0,5375.0,5400.0,2800
2026-01-27 03:10:00,5375.0,5400.0,5375.0,5400.0,22800
2026-01-27 03:15:00,5400.0,5400.0,5375.0,5400.0,3200
2026-01-27 03:20:00,5375.0,5400.0,5375.0,5375.0,11700
2026-01-27 03:25:00,5375.0,5400.0,5375.0,5375.0,38300
2026-01-27 03:30:00,5375.0,5400.0,5375.0,5400.0,11900
2026-01-27 03:35:00,5425.0,5425.0,5375.0,5400.0,147900
2026-01-27 03:40:00,5425.0,5425.0,5400.0,5425.0,2700
2026-01-27 03:45:00,5400.0,5425.0,5400.0,5425.0,1400
2026-01-27 03:50:00,5400.0,5425.0,5400.0,5400.0,9400
2026-01-27 03:55:00,5400.0,5425.0,5400.0,5400.0,10400
2026-01-27 04:00:00,5375.0,5400.0,5375.0,5400.0,71700
2026-01-27 04:05:00,5375.0,5400.0,5375.0,5375.0,20500
2026-01-27 04:10:00,5375.0,5400.0,5375.0,5375.0,12400
2026-01-27 04:15:00,5375.0,5400.0,5375.0,5375.0,6200
2026-01-27 04:20:00,5375.0,5400.0,5375.0,5375.0,22900
2026-01-27 04:25:00,5375.0,5400.0,5375.0,5375.0,14400
2026-01-27 04:30:00,5400.0,5400.0,5375.0,5375.0,9700
2026-01-27 04:35:00,5375.0,5400.0,5375.0,5400.0,18700
2026-01-27 04:40:00,5375.0,5400.0,5375.0,5400.0,12600
2026-01-27 04:45:00,5375.0,5400.0,5375.0,5375.0,29600
2026-01-27 04:50:00,5375.0,5400.0,5375.0,5375.0,25900
2026-01-27 04:55:00,5375.0,5400.0,5375.0,5375.0,30300
2026-01-27 06:30:00,5375.0,5400.0,5375.0,5400.0,191600
2026-01-27 06:35:00,5400.0,5400.0,5375.0,5375.0,10500
2026-01-27 06:40:00,5375.0,5400.0,5375.0,5375.0,51000
2026-01-27 06:45:00,5375.0,5400.0,5375.0,5400.0,28900
2026-01-27 06:50:00,5375.0,5400.0,5375.0,5375.0,17800
2026-01-27 06:55:00,5375.0,5400.0,5375.0,5375.0,16900
2026-01-27 07:00:00,5375.0,5400.0,5375.0,5375.0,62200
2026-01-27 07:05:00,5400.0,5400.0,5375.0,5400.0,14200
2026-01-27 07:10:00,5400.0,5400.0,5375.0,5375.0,70500
2026-01-27 07:15:00,5375.0,5400.0,5375.0,5400.0,49000
2026-01-27 07:20:00,5400.0,5400.0,5375.0,5375.0,25800
2026-01-27 07:25:00,5375.0,5400.0,5375.0,5400.0,22800
2026-01-27 07:30:00,5375.0,5400.0,5375.0,5375.0,32300
2026-01-27 07:35:00,5375.0,5400.0,5375.0,5375.0,20800
2026-01-27 07:40:00,5375.0,5400.0,5375.0,5400.0,22600
2026-01-27 07:45:00,5350.0,5375.0,5350.0,5375.0,1536000
2026-01-27 07:50:00,5300.0,5350.0,5300.0,5350.0,336700
2026-01-27 07:55:00,5300.0,5300.0,5200.0,5300.0,274900
2026-01-27 08:00:00,5300.0,5300.0,5300.0,5300.0,30600
2026-01-27 08:05:00,5275.0,5300.0,5275.0,5300.0,10800
2026-01-27 08:10:00,5300.0,5300.0,5300.0,5300.0,22100
2026-01-27 08:15:00,5250.0,5300.0,5225.0,5300.0,190000
2026-01-27 08:20:00,5225.0,5250.0,5225.0,5250.0,29900
2026-01-27 08:25:00,5250.0,5250.0,5225.0,5225.0,57000
2026-01-27 08:30:00,5225.0,5250.0,5225.0,5225.0,63900
2026-01-27 08:35:00,5225.0,5250.0,5225.0,5225.0,73800
2026-01-27 08:40:00,5225.0,5250.0,5225.0,5225.0,67800
2026-01-27 08:45:00,5600.0,5600.0,5225.0,5250.0,723900
2026-01-27 09:00:00,5350.0,5350.0,5350.0,5350.0,112900
2026-01-27 09:05:00,5350.0,5350.0,5350.0,5350.0,9400
2026-01-28 02:00:00,5275.0,5300.0,5150.0,5200.0,0
2026-01-28 02:05:00,5250.0,5275.0,5200.0,5275.0,140400
2026-01-28 02:10:00,5375.0,5400.0,5250.0,5250.0,65400
2026-01-28 02:15:00,5450.0,5500.0,5375.0,5375.0,91500
2026-01-28 02:20:00,5450.0,5500.0,5400.0,5450.0,154200
2026-01-28 02:25:00,5400.0,5450.0,5400.0,5450.0,21500
2026-01-28 02:30:00,5375.0,5425.0,5350.0,5400.0,143800
