Datetime,Close,High,Low,Open,Volume
2026-01-27 02:00:00,625.0,635.0,625.0,625.0,0
2026-01-27 02:05:00,630.0,635.0,625.0,630.0,2532900
2026-01-27 02:10:00,630.0,635.0,625.0,630.0,2513600
2026-01-27 02:15:00,635.0,635.0,630.0,635.0,1000400
2026-01-27 02:20:00,630.0,640.0,630.0,635.0,5173300
2026-01-27 02:25:00,640.0,645.0,635.0,635.0,4895900
2026-01-27 02:30:00,640.0,645.0,635.0,640.0,2001400
2026-01-27 02:35:00,635.0,645.0,635.0,640.0,6126400
2026-01-27 02:40:00,635.0,640.0,630.0,635.0,3228100
2026-01-27 02:45:00,630.0,635.0,630.0,635.0,886300
2026-01-27 02:50:00,625.0,635.0,625.0,635.0,3505900
2026-01-27 02:55:00,625.0,630.0,625.0,630.0,1612600
2026-01-27 03:00:00,630.0,630.0,625.0,625.0,2542300
2026-01-27 03:05:00,630.0,630.0,625.0,630.0,2654700
2026-01-27 03:10:00,630.0,635.0,630.0,630.0,599800
2026-01-27 03:15:00,625.0,635.0,625.0,630.0,347000
2026-01-27 03:20:00,630.0,630.0,625.0,625.0,216600
2026-01-27 03:25:00,625.0,630.0,625.0,630.0,256700
2026-01-27 03:30:00,630.0,630.0,625.0,625.0,161700
2026-01-27 03:35:00,630.0,630.0,625.0,625.0,401900
2026-01-27 03:40:00,630.0,630.0,625.0,630.0,372700
2026-01-27 03:45:00,630.0,630.0,625.0,625.0,1023900
2026-01-27 03:50:00,625.0,630.0,625.0,625.0,241500
2026-01-27 03:55:00,625.0,630.0,625.0,630.0,865800
2026-01-27 04:00:00,625.0,630.0,625.0,630.0,748200
2026-01-27 04:05:00,620.0,630.0,620.0,630.0,831800
2026-01-27 04:10:00,620.0,625.0,620.0,620.0,459100
2026-01-27 04:15:00,620.0,625.0,620.0,625.0,2202900
2026-01-27 04:20:00,620.0,625.0,620.0,620.0,962000
2026-01-27 04:25:00,620.0,625.0,620.0,625.0,679600
2026-01-27 04:30:00,615.0,625.0,615.0,620.0,924100
2026-01-27 04:35:00,610.0,620.0,610.0,615.0,5464600
2026-01-27 04:40:00,610.0,620.0,610.0,615.0,1170200
2026-01-27 04:45:00,615.0,615.0,610.0,615.0,391600
2026-01-27 04:50:00,610.0,615.0,610.0,610.0,1108400
2026-01-27 04:55:00,610.0,615.0,610.0,610.0,400200
2026-01-27 06:30:00,615.0,615.0,610.0,610.0,2475200
2026-01-27 06:35:00,615.0,615.0,610.0,615.0,889700
2026-01-27 06:40:00,610.0,615.0,610.0,615.0,228100
2026-01-27 06:45:00,610.0,615.0,610.0,610.0,1339400
2026-01-27 06:50:00,610.0,615.0,605.0,610.0,1755600
