Datetime,Close,High,Low,Open,Volume
2026-01-27 02:00:00,296.0,298.0,294.0,298.0,0
2026-01-27 02:05:00,292.0,296.0,292.0,296.0,4098300
2026-01-27 02:10:00,294.0,294.0,292.0,294.0,3891700
2026-01-27 02:15:00,296.0,296.0,294.0,294.0,2345700
2026-01-27 02:20:00,296.0,296.0,294.0,294.0,925700
2026-01-27 02:25:00,292.0,294.0,292.0,294.0,8642800
2026-01-27 02:30:00,294.0,294.0,292.0,292.0,1293700
2026-01-27 02:35:00,294.0,294.0,292.0,292.0,255200
2026-01-27 02:40:00,292.0,294.0,292.0,294.0,74900
2026-01-27 02:45:00,292.0,294.0,292.0,294.0,150500
2026-01-27 02:50:00,292.0,294.0,292.0,292.0,259800
2026-01-27 02:55:00,292.0,294.0,292.0,294.0,96500
2026-01-27 03:00:00,292.0,294.0,292.0,292.0,41600
2026-01-27 03:05:00,294.0,294.0,292.0,292.0,553900
2026-01-27 03:10:00,292.0,294.0,292.0,292.0,2098100
2026-01-27 03:15:00,292.0,294.0,292.0,292.0,1370800
2026-01-27 03:20:00,294.0,294.0,292.0,294.0,645800
2026-01-27 03:25:00,294.0,294.0,292.0,294.0,98300
2026-01-27 03:30:00,292.0,294.0,292.0,294.0,309000
2026-01-27 03:35:00,290.0,292.0,290.0,292.0,8140100
2026-01-27 03:40:00,292.0,292.0,290.0,292.0,1087200
2026-01-27 03:45:00,292.0,292.0,290.0,290.0,1540300
2026-01-27 03:50:00,290.0,292.0,290.0,292.0,381700
2026-01-27 03:55:00,292.0,292.0,290.0,290.0,523700
2026-01-27 04:00:00,290.0,292.0,288.0,290.0,21414500
2026-01-27 04:05:00,282.0,290.0,282.0,290.0,19993400
2026-01-27 04:10:00,286.0,286.0,280.0,284.0,11802800
2026-01-27 04:15:00,286.0,286.0,282.0,286.0,2177800
2026-01-27 04:20:00,284.0,286.0,284.0,286.0,1394800
2026-01-27 04:25:00,284.0,286.0,284.0,286.0,324600
2026-01-27 04:30:00,286.0,286.0,284.0,284.0,848600
2026-01-27 04:35:00,286.0,286.0,284.0,286.0,3252800
2026-01-27 04:40:00,284.0,286.0,284.0,286.0,2283300
2026-01-27 04:45:00,286.0,286.0,284.0,286.0,744300
2026-01-27 04:50:00,286.0,286.0,284.0,284.0,804500
2026-01-27 04:55:00,286.0,288.0,284.0,286.0,1939000
2026-01-27 06:30:00,286.0,288.0,286.0,286.0,1195600
2026-01-27 06:35:00,286.0,288.0,284.0,288.0,12642700
2026-01-27 06:40:00,284.0,286.0,284.0,284.0,930400
2026-01-27 06:45:00,284.0,286.0,284.0,284.0,1025500
2026-01-27 06:50:00,284.0,286.0,284.0,284.0,1026300
2026-01-27 06:55:00,286.0,288.0,286.0,286.0,1699000
2026-01-27 07:00:00,286.0,288.0,284.0,288.0,3439300
2026-01-27 07:05:00,286.0,286.0,284.0,286.0,425300
2026-01-27 07:10:00,286.0,286.0,284.0,286.0,1870700
2026-01-27 07:15:00,288.0,290.0,286.0,286.0,4024400
2026-01-27 07:20:00,290.0,290.0,288.0,288.0,722800
2026-01-27 07:25:00,290.0,290.0,288.0,290.0,479200
2026-01-27 07:30:00,290.0,290.0,288.0,288.0,1246400
2026-01-27 07:35:00,288.0,290.0,288.0,290.0,1149500
2026-01-27 07:40:00,288.0,290.0,288.0,290.0,1256600
2026-01-27 07:45:00,290.0,292.0,288.0,290.0,4382700
2026-01-27 07:50:00,288.0,290.0,288.0,290.0,47400
2026-01-27 07:55:00,290.0,290.0,288.0,288.0,23800
2026-01-27 08:00:00,286.0,290.0,286.0,290.0,3761000
2026-01-27 08:05:00,288.0,288.0,286.0,288.0,457000
2026-01-27 08:10:00,288.0,288.0,286.0,286.0,279900
2026-01-27 08:15:00,286.0,288.0,286.0,288.0,1039500
2026-01-27 08:20:00,286.0,288.0,286.0,286.0,213400
2026-01-27 08:25:00,286.0,288.0,286.0,288.0,243400
2026-01-27 08:30:00,288.0,288.0,286.0,286.0,749000
2026-01-27 08:35:00,286.0,288.0,286.0,288.0,4805700
2026-01-27 08:40:00,284.0,286.0,284.0,286.0,8160500
2026-01-27 08:45:00,286.0,288.0,284.0,284.0,2932500
2026-01-27 09:00:00,286.0,286.0,286.0,286.0,3161800
2026-01-27 09:05:00,286.0,286.0,286.0,286.0,493100
2026-01-27 09:10:00,286.0,286.0,286.0,286.0,57600
2026-01-28 02:00:00,274.0,280.0,272.0,280.0,0
2026-01-28 02:05:00,276.0,276.0,272.0,274.0,14121800
2026-01-28 02:10:00,278.0,280.0,274.0,274.0,23603400
2026-01-28 02:15:00,278.0,280.0,278.0,278.0,5091200
2026-01-28 02:20:00,278.0,280.0,276.0,280.0,3902100
2026-01-28 02:25:00,280.0,282.0,276.0,278.0,25445200
2026-01-28 02:30:00,276.0,284.0,276.0,280.0,8524800
2026-01-28 02:35:00,276.0,278.0,274.0,276.0,6701000
2026-01-28 02:40:00,276.0,278.0,272.0,274.0,19628800
2026-01-28 02:45:00,276.0,278.0,276.0,278.0,1443000
2026-01-28 02:50:00,274.0,278.0,274.0,278.0,8435000
2026-01-28 02:55:00,278.0,278.0,274.0,274.0,627400
2026-01-28 03:00:00,276.0,278.0,276.0,276.0,577000
2026-01-28 03:05:00,276.0,278.0,276.0,276.0,289000
2026-01-28 03:10:00,276.0,278.0,276.0,276.0,984300
2026-01-28 03:15:00,274.0,276.0,274.0,276.0,2070200
2026-01-28 03:20:00,276.0,276.0,274.0,274.0,1466900
2026-01-28 03:25:00,270.0,276.0,270.0,274.0,15848500
2026-01-28 03:30:00,272.0,274.0,270.0,270.0,4389200
2026-01-28 03:35:00,274.0,274.0,272.0,272.0,2216300
2026-01-28 03:40:00,270.0,274.0,270.0,274.0,9409800
2026-01-28 03:45:00,270.0,272.0,270.0,270.0,16397200
2026-01-28 03:50:00,268.0,270.0,266.0,270.0,12601900
2026-01-28 03:55:00,268.0,270.0,268.0,270.0,7483400
2026-01-28 04:00:00,268.0,268.0,266.0,266.0,5797900
2026-01-28 04:05:00,268.0,270.0,266.0,268.0,1764300
2026-01-28 04:10:00,268.0,270.0,268.0,268.0,4051100
2026-01-28 04:15:00,268.0,270.0,266.0,266.0,3579400
2026-01-28 04:20:00,270.0,272.0,268.0,268.0,9592200
2026-01-28 04:25:00,274.0,274.0,268.0,270.0,5961500
2026-01-28 04:30:00,272.0,276.0,272.0,274.0,1706100
2026-01-28 04:35:00,272.0,274.0,272.0,272.0,645000
2026-01-28 04:40:00,270.0,272.0,270.0,272.0,824200
2026-01-28 04:45:00,272.0,272.0,268.0,270.0,2689000
2026-01-28 04:50:00,268.0,270.0,266.0,270.0,2729000
2026-01-28 04:55:00,270.0,270.0,268.0,268.0,815600
2026-01-28 06:30:00,268.0,274.0,266.0,270.0,4755300
2026-01-28 06:35:00,268.0,270.0,268.0,268.0,4194600
2026-01-28 06:40:00,266.0,270.0,266.0,268.0,1493000
2026-01-28 07:10:00,268.0,268.0,266.0,266.0,209200
2026-01-28 07:15:00,264.0,268.0,262.0,268.0,9205300
2026-01-28 07:20:00,262.0,266.0,262.0,264.0,8987500
2026-01-28 07:25:00,264.0,266.0,262.0,262.0,4454100
2026-01-28 07:30:00,266.0,268.0,264.0,264.0,2953800
2026-01-28 07:35:00,264.0,268.0,264.0,268.0,1583600
2026-01-28 07:40:00,266.0,268.0,264.0,264.0,3758400
2026-01-28 07:45:00,264.0,266.0,264.0,266.0,1171300
2026-01-28 07:50:00,266.0,268.0,264.0,264.0,1568900
2026-01-28 07:55:00,266.0,268.0,266.0,266.0,356600
2026-01-28 08:00:00,268.0,268.0,266.0,266.0,696000
2026-01-28 08:05:00,270.0,270.0,266.0,266.0,3229700
2026-01-28 08:10:00,268.0,270.0,268.0,270.0,652700
2026-01-28 08:15:00,268.0,270.0,268.0,268.0,292000
2026-01-28 08:20:00,270.0,270.0,268.0,268.0,3335900
2026-01-28 08:25:00,268.0,270.0,268.0,270.0,2434300
2026-01-28 08:30:00,270.0,270.0,268.0,268.0,431800
2026-01-28 08:35:00,270.0,270.0,268.0,270.0,4426400
2026-01-28 08:40:00,270.0,270.0,268.0,270.0,1728800
2026-01-28 08:45:00,268.0,270.0,268.0,268.0,2279300
2026-01-28 09:00:00,270.0,270.0,270.0,270.0,1343200
2026-01-28 09:05:00,270.0,270.0,270.0,270.0,427400
2026-01-28 09:10:00,270.0,270.0,270.0,270.0,105400
2026-01-29 02:00:00,254.0,264.0,252.0,262.0,0
2026-01-29 02:05:00,252.0,256.0,248.0,256.0,34536000
2026-01-29 02:10:00,252.0,252.0,248.0,250.0,8332600
2026-01-29 02:15:00,246.0,256.0,246.0,250.0,7493400
2026-01-29 02:20:00,250.0,250.0,244.0,246.0,9770200
2026-01-29 02:25:00,246.0,248.0,246.0,248.0,2324900
2026-01-29 02:55:00,232.0,246.0,232.0,246.0,30444200
2026-01-29 03:00:00,240.0,240.0,232.0,234.0,14624900
2026-01-29 03:05:00,240.0,242.0,238.0,240.0,5385600
2026-01-29 03:10:00,234.0,240.0,232.0,240.0,13811400
2026-01-29 03:15:00,242.0,244.0,232.0,234.0,14381500
2026-01-29 03:20:00,244.0,244.0,240.0,242.0,2812100
2026-01-29 03:25:00,242.0,246.0,242.0,244.0,1161500
2026-01-29 03:30:00,246.0,248.0,244.0,244.0,2683300
2026-01-29 03:35:00,248.0,248.0,244.0,246.0,3929200
2026-01-29 03:40:00,246.0,248.0,246.0,248.0,4622700
2026-01-29 03:45:00,250.0,250.0,248.0,248.0,6671900
2026-01-29 03:50:00,250.0,252.0,248.0,252.0,6056900
2026-01-29 03:55:00,252.0,254.0,250.0,250.0,1790500
2026-01-29 04:00:00,250.0,252.0,250.0,252.0,1511300
2026-01-29 04:05:00,256.0,256.0,248.0,252.0,7829200
2026-01-29 04:10:00,252.0,256.0,252.0,256.0,153800
2026-01-29 04:15:00,254.0,256.0,252.0,254.0,1114000
2026-01-29 04:20:00,252.0,254.0,252.0,254.0,534800
2026-01-29 04:25:00,252.0,254.0,250.0,254.0,2294200
2026-01-29 04:30:00,250.0,252.0,248.0,252.0,2127500
2026-01-29 04:35:00,250.0,250.0,248.0,248.0,5777000
2026-01-29 04:40:00,250.0,250.0,248.0,250.0,6860000
2026-01-29 04:45:00,250.0,250.0,248.0,250.0,1102600
2026-01-29 04:50:00,250.0,252.0,248.0,250.0,2289500
2026-01-29 04:55:00,250.0,252.0,248.0,252.0,106000
2026-01-29 06:30:00,256.0,256.0,250.0,252.0,11428300
2026-01-29 06:35:00,264.0,264.0,256.0,256.0,13304900
2026-01-29 06:40:00,262.0,264.0,260.0,264.0,749600
2026-01-29 06:45:00,260.0,264.0,258.0,262.0,5256800
2026-01-29 06:50:00,258.0,260.0,258.0,260.0,5475000
2026-01-29 06:55:00,260.0,262.0,258.0,260.0,869500
2026-01-29 07:00:00,262.0,262.0,260.0,262.0,945000
2026-01-29 07:05:00,262.0,264.0,260.0,262.0,2314000
2026-01-29 07:10:00,264.0,264.0,260.0,262.0,1569700
2026-01-29 07:15:00,264.0,264.0,262.0,264.0,2227800
2026-01-29 07:20:00,264.0,266.0,262.0,264.0,3330400
2026-01-29 07:25:00,266.0,266.0,262.0,264.0,1628900
2026-01-29 07:30:00,260.0,264.0,260.0,264.0,3371000
2026-01-29 07:35:00,262.0,262.0,260.0,260.0,3077200
2026-01-29 07:40:00,260.0,262.0,258.0,262.0,156700
2026-01-29 07:45:00,262.0,262.0,260.0,260.0,390900
2026-01-29 07:50:00,262.0,262.0,260.0,262.0,465000
2026-01-29 07:55:00,262.0,264.0,260.0,262.0,393000
2026-01-29 08:00:00,262.0,264.0,262.0,264.0,713600
2026-01-29 08:05:00,258.0,262.0,258.0,260.0,1657400
2026-01-29 08:10:00,258.0,260.0,258.0,260.0,587900
2026-01-29 08:15:00,260.0,260.0,258.0,260.0,135900
2026-01-29 08:20:00,258.0,260.0,258.0,260.0,4553600
2026-01-29 08:25:00,262.0,262.0,258.0,260.0,511700
2026-01-29 08:30:00,262.0,262.0,260.0,262.0,119800
2026-01-29 08:35:00,260.0,262.0,260.0,262.0,296000
2026-01-29 08:40:00,262.0,262.0,260.0,262.0,649800
2026-01-29 08:45:00,260.0,262.0,260.0,260.0,1296100
2026-01-29 09:00:00,264.0,264.0,264.0,264.0,3046200
2026-01-29 09:05:00,264.0,264.0,264.0,264.0,76200
2026-01-29 09:10:00,264.0,264.0,264.0,264.0,86800
2026-01-30 02:00:00,266.0,266.0,262.0,264.0,0
2026-01-30 02:05:00,270.0,270.0,264.0,266.0,4692200
2026-01-30 02:10:00,270.0,272.0,268.0,270.0,8673200
2026-01-30 02:15:00,268.0,272.0,268.0,270.0,7104100
2026-01-30 02:20:00,268.0,270.0,266.0,268.0,4291900
2026-01-30 02:25:00,266.0,270.0,266.0,268.0,2976000
2026-01-30 02:30:00,262.0,268.0,260.0,266.0,6533100
