Datetime,Close,High,Low,Open,Volume
2026-01-27 02:00:00,940.0,950.0,935.0,945.0,0
2026-01-27 02:05:00,940.0,940.0,935.0,940.0,420800
2026-01-27 02:10:00,930.0,940.0,930.0,940.0,1275000
2026-01-27 02:15:00,930.0,935.0,930.0,930.0,220600
2026-01-27 02:20:00,935.0,935.0,930.0,935.0,104900
2026-01-27 02:25:00,930.0,935.0,930.0,935.0,22900
2026-01-27 02:30:00,935.0,935.0,930.0,930.0,126600
2026-01-27 02:35:00,935.0,935.0,930.0,935.0,25100
2026-01-27 02:40:00,935.0,935.0,930.0,935.0,67100
2026-01-27 02:45:00,930.0,930.0,925.0,930.0,2873900
2026-01-27 02:50:00,930.0,930.0,925.0,925.0,114800
2026-01-27 02:55:00,930.0,930.0,925.0,930.0,184400
2026-01-27 03:00:00,935.0,935.0,925.0,930.0,149900
2026-01-27 03:05:00,930.0,935.0,930.0,935.0,258200
2026-01-27 03:10:00,935.0,935.0,930.0,930.0,42100
2026-01-27 03:15:00,935.0,935.0,930.0,935.0,149800
2026-01-27 03:20:00,935.0,935.0,930.0,935.0,11800
2026-01-27 03:25:00,930.0,935.0,930.0,935.0,107300
2026-01-27 03:30:00,930.0,935.0,930.0,930.0,461500
2026-01-27 03:35:00,930.0,935.0,930.0,935.0,26900
2026-01-27 03:40:00,935.0,935.0,930.0,930.0,34900
2026-01-27 03:45:00,930.0,930.0,930.0,930.0,2400
2026-01-27 03:50:00,930.0,935.0,930.0,930.0,48500
2026-01-27 03:55:00,935.0,935.0,930.0,930.0,2300
2026-01-27 04:00:00,935.0,935.0,930.0,935.0,10900
2026-01-27 04:05:00,935.0,935.0,930.0,935.0,17700
2026-01-27 04:10:00,930.0,935.0,930.0,935.0,737100
2026-01-27 04:15:00,930.0,935.0,930.0,930.0,388600
2026-01-27 04:20:00,930.0,935.0,930.0,930.0,111200
2026-01-27 04:25:00,930.0,935.0,930.0,930.0,263500
2026-01-27 04:30:00,935.0,935.0,930.0,930.0,62600
2026-01-27 04:35:00,930.0,935.0,930.0,930.0,17400
2026-01-27 04:40:00,930.0,935.0,930.0,935.0,20700
2026-01-27 04:45:00,930.0,935.0,930.0,930.0,3600
2026-01-27 04:50:00,935.0,935.0,930.0,930.0,81300
2026-01-27 04:55:00,930.0,930.0,930.0,930.0,60600
2026-01-27 06:30:00,930.0,935.0,930.0,930.0,17700
2026-01-27 06:35:00,930.0,935.0,930.0,935.0,26300
2026-01-27 06:40:00,935.0,935.0,930.0,935.0,2000
2026-01-27 06:45:00,930.0,935.0,930.0,930.0,184400
2026-01-27 06:50:00,930.0,935.0,930.0,930.0,84800
2026-01-27 06:55:00,930.0,935.0,930.0,930.0,37700
2026-01-27 07:00:00,935.0,935.0,930.0,930.0,61700
2026-01-27 07:05:00,930.0,930.0,930.0,930.0,6500
2026-01-27 07:10:00,930.0,935.0,930.0,930.0,24700
2026-01-27 07:15:00,935.0,935.0,930.0,930.0,188700
2026-01-27 07:20:00,935.0,935.0,930.0,935.0,23800
2026-01-27 07:25:00,930.0,935.0,930.0,935.0,23000
2026-01-27 07:30:00,930.0,935.0,930.0,930.0,104700
2026-01-27 07:35:00,930.0,935.0,930.0,930.0,510600
2026-01-27 07:40:00,935.0,935.0,925.0,925.0,101800
2026-01-27 07:45:00,930.0,930.0,925.0,930.0,40900
2026-01-27 07:50:00,930.0,930.0,925.0,930.0,557600
2026-01-27 07:55:00,930.0,930.0,925.0,925.0,34500
2026-01-27 08:00:00,930.0,930.0,930.0,930.0,15300
2026-01-27 08:05:00,925.0,930.0,925.0,930.0,116600
2026-01-27 08:10:00,930.0,930.0,925.0,930.0,7400
2026-01-27 08:15:00,930.0,930.0,925.0,925.0,129700
2026-01-27 08:20:00,925.0,930.0,925.0,930.0,0
2026-01-27 08:25:00,925.0,930.0,925.0,925.0,295900
2026-01-27 08:30:00,930.0,930.0,925.0,925.0,85300
2026-01-27 08:35:00,930.0,930.0,925.0,925.0,219200
2026-01-27 08:40:00,930.0,930.0,925.0,925.0,10800
2026-01-27 08:45:00,935.0,935.0,930.0,930.0,337400
2026-01-27 09:00:00,930.0,930.0,930.0,930.0,213100
2026-01-27 09:05:00,930.0,930.0,930.0,930.0,41100
2026-01-27 09:10:00,930.0,930.0,930.0,930.0,500
2026-01-28 02:00:00,915.0,930.0,915.0,930.0,0
2026-01-28 02:05:00,910.0,920.0,905.0,915.0,856400
2026-01-28 02:10:00,920.0,925.0,910.0,910.0,371000
2026-01-28 02:15:00,920.0,925.0,920.0,920.0,102800
2026-01-28 02:20:00,920.0,925.0,920.0,925.0,192000
2026-01-28 02:25:00,925.0,925.0,915.0,925.0,277900
2026-01-28 02:30:00,920.0,925.0,915.0,920.0,74100
2026-01-28 02:35:00,915.0,920.0,910.0,915.0,273900
2026-01-28 02:40:00,910.0,920.0,910.0,915.0,735000
2026-01-28 02:45:00,915.0,920.0,910.0,915.0,24100
2026-01-28 02:50:00,915.0,920.0,915.0,915.0,176600
2026-01-28 02:55:00,915.0,920.0,915.0,915.0,128500
2026-01-28 03:00:00,915.0,915.0,910.0,915.0,46600
2026-01-28 03:05:00,915.0,915.0,910.0,915.0,289200
2026-01-28 03:10:00,915.0,915.0,910.0,915.0,28900
2026-01-28 03:15:00,915.0,915.0,915.0,915.0,77300
2026-01-28 03:20:00,910.0,915.0,910.0,915.0,635500
2026-01-28 03:25:00,905.0,915.0,905.0,910.0,296100
2026-01-28 03:30:00,910.0,910.0,905.0,905.0,229200
2026-01-28 03:35:00,905.0,910.0,905.0,910.0,132700
2026-01-28 03:40:00,905.0,910.0,905.0,905.0,644700
2026-01-28 03:45:00,900.0,910.0,900.0,905.0,2963200
2026-01-28 03:50:00,905.0,910.0,900.0,905.0,12800
2026-01-28 03:55:00,900.0,910.0,900.0,910.0,279600
2026-01-28 04:00:00,900.0,905.0,900.0,900.0,154000
2026-01-28 04:05:00,905.0,905.0,900.0,900.0,111400
2026-01-28 04:10:00,900.0,905.0,900.0,900.0,1401000
2026-01-28 04:15:00,900.0,905.0,900.0,900.0,644100
2026-01-28 04:20:00,910.0,910.0,900.0,900.0,1088300
2026-01-28 04:25:00,910.0,915.0,910.0,910.0,348700
2026-01-28 04:30:00,915.0,915.0,910.0,910.0,99500
2026-01-28 04:35:00,920.0,920.0,910.0,915.0,718700
2026-01-28 04:40:00,920.0,920.0,910.0,920.0,28100
2026-01-28 04:45:00,920.0,920.0,915.0,915.0,103200
2026-01-28 04:50:00,915.0,920.0,915.0,920.0,160300
2026-01-28 04:55:00,915.0,920.0,905.0,915.0,361100
2026-01-28 06:30:00,915.0,915.0,905.0,910.0,2149200
2026-01-28 06:35:00,910.0,915.0,910.0,910.0,136400
2026-01-28 06:40:00,905.0,910.0,905.0,910.0,14900
2026-01-28 07:10:00,910.0,910.0,905.0,905.0,122700
2026-01-28 07:15:00,905.0,905.0,900.0,905.0,1246500
2026-01-28 07:20:00,905.0,905.0,900.0,905.0,272900
2026-01-28 07:25:00,905.0,910.0,900.0,905.0,1235200
2026-01-28 07:30:00,905.0,910.0,900.0,905.0,518300
2026-01-28 07:35:00,905.0,905.0,900.0,900.0,78500
2026-01-28 07:40:00,905.0,905.0,900.0,905.0,108800
2026-01-28 07:45:00,900.0,905.0,900.0,905.0,129700
2026-01-28 07:50:00,905.0,905.0,900.0,905.0,2368400
2026-01-28 07:55:00,905.0,905.0,900.0,900.0,4175600
2026-01-28 08:00:00,905.0,910.0,900.0,905.0,853500
2026-01-28 08:05:00,905.0,905.0,900.0,900.0,89800
2026-01-28 08:10:00,905.0,905.0,900.0,905.0,172800
2026-01-28 08:15:00,905.0,905.0,900.0,905.0,178600
2026-01-28 08:20:00,900.0,910.0,900.0,905.0,645700
2026-01-28 08:25:00,910.0,910.0,900.0,910.0,0
2026-01-28 08:30:00,905.0,910.0,905.0,905.0,116100
2026-01-28 08:35:00,910.0,910.0,905.0,905.0,75100
2026-01-28 08:40:00,910.0,910.0,905.0,905.0,73600
2026-01-28 08:45:00,910.0,910.0,905.0,905.0,112500
2026-01-28 09:00:00,910.0,910.0,910.0,910.0,470200
2026-01-28 09:05:00,910.0,910.0,910.0,910.0,6700
2026-01-28 09:10:00,910.0,910.0,910.0,910.0,56400
2026-01-29 02:00:00,895.0,910.0,895.0,905.0,0
2026-01-29 02:05:00,895.0,900.0,890.0,895.0,2727100
2026-01-29 02:10:00,880.0,895.0,880.0,895.0,2126900
2026-01-29 02:15:00,875.0,885.0,870.0,880.0,1721100
2026-01-29 02:20:00,840.0,875.0,835.0,870.0,5092100
2026-01-29 02:25:00,835.0,840.0,835.0,840.0,1012200
2026-01-29 02:55:00,795.0,840.0,795.0,835.0,3262700
2026-01-29 03:00:00,805.0,815.0,790.0,790.0,2379100
2026-01-29 03:05:00,825.0,825.0,805.0,810.0,642700
2026-01-29 03:10:00,820.0,825.0,810.0,825.0,970600
2026-01-29 03:15:00,825.0,840.0,815.0,815.0,2167700
2026-01-29 03:20:00,835.0,835.0,820.0,825.0,562100
2026-01-29 03:25:00,830.0,840.0,825.0,835.0,1201000
2026-01-29 03:30:00,835.0,845.0,830.0,840.0,83200
2026-01-29 03:35:00,845.0,845.0,835.0,840.0,542100
2026-01-29 03:40:00,845.0,850.0,840.0,845.0,570800
2026-01-29 03:45:00,850.0,850.0,840.0,845.0,464700
2026-01-29 03:50:00,845.0,855.0,845.0,850.0,877700
2026-01-29 03:55:00,855.0,860.0,840.0,845.0,295200
2026-01-29 04:00:00,845.0,855.0,845.0,850.0,383500
2026-01-29 04:05:00,860.0,860.0,845.0,850.0,365800
2026-01-29 04:10:00,860.0,865.0,855.0,855.0,129800
2026-01-29 04:15:00,855.0,865.0,855.0,860.0,847200
2026-01-29 04:20:00,860.0,870.0,855.0,860.0,375500
2026-01-29 04:25:00,860.0,865.0,855.0,855.0,235500
2026-01-29 04:30:00,855.0,860.0,850.0,855.0,775900
2026-01-29 04:35:00,845.0,850.0,845.0,850.0,223600
2026-01-29 04:40:00,845.0,855.0,845.0,850.0,183700
2026-01-29 04:45:00,845.0,850.0,840.0,845.0,282300
2026-01-29 04:50:00,865.0,865.0,845.0,850.0,390400
2026-01-29 04:55:00,860.0,870.0,860.0,865.0,125200
2026-01-29 06:30:00,890.0,895.0,865.0,865.0,1007000
2026-01-29 06:35:00,890.0,895.0,885.0,890.0,225200
2026-01-29 06:40:00,900.0,900.0,885.0,890.0,707500
2026-01-29 06:45:00,900.0,905.0,890.0,900.0,669200
2026-01-29 06:50:00,890.0,900.0,885.0,900.0,166400
2026-01-29 06:55:00,895.0,895.0,885.0,890.0,284600
2026-01-29 07:00:00,890.0,895.0,890.0,890.0,235200
2026-01-29 07:05:00,895.0,895.0,885.0,890.0,271900
2026-01-29 07:10:00,900.0,900.0,890.0,890.0,424700
2026-01-29 07:15:00,895.0,900.0,895.0,895.0,285500
2026-01-29 07:20:00,895.0,900.0,895.0,895.0,69700
2026-01-29 07:25:00,895.0,900.0,895.0,895.0,65500
2026-01-29 07:30:00,890.0,900.0,890.0,900.0,148100
2026-01-29 07:35:00,880.0,895.0,880.0,890.0,436700
2026-01-29 07:40:00,885.0,885.0,880.0,885.0,126200
2026-01-29 07:45:00,885.0,885.0,880.0,885.0,50800
2026-01-29 07:50:00,885.0,890.0,880.0,880.0,151200
2026-01-29 07:55:00,890.0,890.0,885.0,890.0,75700
2026-01-29 08:00:00,890.0,890.0,885.0,890.0,143200
2026-01-29 08:05:00,885.0,890.0,885.0,890.0,235700
2026-01-29 08:10:00,890.0,890.0,880.0,885.0,99500
2026-01-29 08:15:00,890.0,890.0,885.0,890.0,96200
2026-01-29 08:20:00,890.0,895.0,885.0,890.0,152700
2026-01-29 08:25:00,890.0,890.0,885.0,890.0,62800
2026-01-29 08:30:00,890.0,890.0,880.0,890.0,213100
2026-01-29 08:35:00,880.0,890.0,880.0,890.0,259100
